2025-07-10 17:49:38 | INFO     | vehicle_detection | 🚀 Vehicle Detection Server
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🌟 Vehicle Detection Server
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | ==================================================
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 📍 URL: http://0.0.0.0:1234
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🎯 Vehicle Classes: car, truck, bus, motorcycle, bicycle
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🔧 Configuration: type
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | ==================================================
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🚀 Starting M1 Pro Vehicle Detection Server...
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 📁 Video path: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection/resources/1.mp4
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🎯 Target FPS: 30
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🔧 Debug mode: False
2025-07-10 17:49:38 | INFO     | vehicle_detection.app | 🧠 Initializing AI model...
2025-07-10 17:49:38 | INFO     | vehicle_detection.device_optimizer | 🚀 Starting device optimization...
2025-07-10 17:49:38 | INFO     | vehicle_detection.device_optimizer | ✓ MPS optimizations applied
2025-07-10 17:49:38 | INFO     | vehicle_detection.device_optimizer | 📋 Generated 4 test frames
2025-07-10 17:49:38 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8n.pt
2025-07-10 17:49:38 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.788s/frame (3.151s total)
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.016s/frame (0.064s total)
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8n.pt results:
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.788s (1.3 FPS)
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.016s (62.5 FPS)
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on CPU
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on MPS
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8s.pt
2025-07-10 17:49:41 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.102s/frame (0.407s total)
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.026s/frame (0.102s total)
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8s.pt results:
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.102s (9.8 FPS)
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.026s (39.2 FPS)
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8m.pt
2025-07-10 17:49:42 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
